,source,mutation_method,temperature,population_size,num_iterations,best_state,best_score
973,2,swap,5,100,200,"[3, 0, 1, 9, 6, 8, 7, 4, 2, 5]",0.0078125
974,2,swap,5,100,500,"[3, 0, 1, 9, 6, 8, 7, 4, 2, 5]",0.0078125
975,2,swap,8,5,10,"[3, 2, 0, 6, 8, 4, 9, 7, 1, 5]",0.00390625
976,2,swap,8,5,50,"[3, 2, 9, 6, 4, 7, 8, 0, 1, 5]",0.0078125
977,2,swap,8,5,100,"[3, 2, 9, 6, 4, 7, 8, 0, 1, 5]",0.0078125
978,2,swap,8,5,200,"[3, 2, 9, 6, 4, 7, 8, 0, 1, 5]",0.0078125
979,2,swap,8,5,500,"[3, 2, 9, 6, 4, 7, 8, 0, 1, 5]",0.0078125
980,2,swap,8,10,10,"[3, 2, 0, 6, 8, 4, 9, 7, 1, 5]",0.00390625
981,2,swap,8,10,50,"[3, 2, 0, 6, 8, 4, 9, 7, 1, 5]",0.00390625
982,2,swap,8,10,100,"[3, 2, 0, 6, 8, 4, 9, 7, 1, 5]",0.00390625
983,2,swap,8,10,200,"[3, 2, 9, 6, 4, 7, 8, 0, 1, 5]",0.0078125
984,2,swap,8,10,500,"[3, 2, 9, 6, 4, 7, 8, 0, 1, 5]",0.0078125
985,2,swap,8,20,10,"[3, 2, 0, 6, 8, 4, 9, 7, 1, 5]",0.00390625
986,2,swap,8,20,50,"[3, 0, 4, 2, 6, 8, 9, 7, 1, 5]",0.0078125
987,2,swap,8,20,100,"[3, 0, 4, 2, 6, 8, 9, 7, 1, 5]",0.0078125
988,2,swap,8,20,200,"[3, 0, 4, 2, 6, 8, 9, 7, 1, 5]",0.0078125
989,2,swap,8,20,500,"[3, 0, 4, 2, 6, 8, 9, 7, 1, 5]",0.0078125
990,2,swap,8,50,10,"[3, 0, 1, 9, 6, 8, 7, 4, 2, 5]",0.0078125
991,2,swap,8,50,50,"[3, 0, 1, 9, 6, 8, 7, 4, 2, 5]",0.0078125
992,2,swap,8,50,100,"[3, 0, 1, 9, 6, 8, 7, 4, 2, 5]",0.0078125
993,2,swap,8,50,200,"[3, 0, 1, 9, 6, 8, 7, 4, 2, 5]",0.0078125
994,2,swap,8,50,500,"[3, 0, 1, 9, 6, 8, 7, 4, 2, 5]",0.0078125
995,2,swap,8,100,10,"[3, 0, 1, 9, 6, 8, 7, 4, 2, 5]",0.0078125
996,2,swap,8,100,50,"[3, 0, 1, 9, 6, 8, 7, 4, 2, 5]",0.0078125
997,2,swap,8,100,100,"[3, 0, 1, 9, 6, 8, 7, 4, 2, 5]",0.0078125
998,2,swap,8,100,200,"[3, 0, 1, 9, 6, 8, 7, 4, 2, 5]",0.0078125
999,2,swap,8,100,500,"[3, 0, 1, 9, 6, 8, 7, 4, 2, 5]",0.0078125
