,source,mutation_method,num_iterations,population_size,selection_type,best_state,best_score
311,2,shuffle,100,10,tournament,"[3, 8, 0, 5]",0.125
312,2,shuffle,100,20,tournament,"[3, 0, 1, 9, 8, 2, 6, 4, 7, 5]",0.0078125
313,2,shuffle,100,50,tournament,"[3, 8, 0, 5]",0.125
314,2,shuffle,100,100,tournament,"[3, 0, 5]",0.5
315,2,shuffle,200,5,tournament,"[3, 7, 6, 9, 1, 5]",0.0625
316,2,shuffle,200,10,tournament,"[3, 0, 1, 2, 8, 6, 4, 5]",0.03125
317,2,shuffle,200,20,tournament,"[3, 7, 2, 5]",0.125
318,2,shuffle,200,50,tournament,"[1, 1, 5]",0.5
319,2,shuffle,200,100,tournament,"[3, 0, 6, 5]",0.25
320,2,shuffle,500,5,tournament,"[3, 4, 8, 9, 7, 0, 5]",0.015625
321,2,shuffle,500,10,tournament,"[3, 0, 1, 6, 9, 5]",0.125
322,2,shuffle,500,20,tournament,"[3, 0, 1, 2, 9, 5]",0.125
323,2,shuffle,500,50,tournament,"[8, 2, 5]",0.25
324,2,shuffle,500,100,tournament,"[3, 7, 1, 5]",0.25
325,2,swap,10,5,tournament,"[3, 2, 0, 6, 8, 4, 9, 7, 1, 5]",0.00390625
326,2,swap,10,10,tournament,"[3, 2, 0, 6, 8, 4, 9, 7, 1, 5]",0.00390625
327,2,swap,10,20,tournament,"[3, 9, 5]",0.25
328,2,swap,10,50,tournament,"[3, 8, 9, 5]",0.125
329,2,swap,10,100,tournament,"[3, 7, 5]",0.25
330,2,swap,50,5,tournament,"[3, 0, 8, 1, 5]",0.25
331,2,swap,50,10,tournament,"[3, 8, 1, 6, 5]",0.0625
332,2,swap,50,20,tournament,"[3, 2, 0, 6, 8, 4, 9, 7, 1, 5]",0.00390625
333,2,swap,50,50,tournament,"[3, 8, 1, 5]",0.25
334,2,swap,50,100,tournament,"[4, 0, 5]",0.25
335,2,swap,100,5,tournament,"[3, 0, 6, 5]",0.25
336,2,swap,100,10,tournament,"[3, 0, 6, 5]",0.25
337,2,swap,100,20,tournament,"[3, 7, 0, 5]",0.125
338,2,swap,100,50,tournament,"[3, 2, 0, 5]",0.125
339,2,swap,100,100,tournament,"[3, 2, 5]",0.25
340,2,swap,200,5,tournament,"[3, 7, 2, 1, 6, 5]",0.03125
341,2,swap,200,10,tournament,"[3, 2, 0, 6, 8, 4, 9, 7, 1, 5]",0.00390625
342,2,swap,200,20,tournament,"[3, 9, 7, 1, 5]",0.125
343,2,swap,200,50,tournament,"[3, 1, 0, 5]",0.125
344,2,swap,200,100,tournament,"[3, 0, 5]",0.5
345,2,swap,500,5,tournament,"[3, 2, 0, 6, 8, 4, 9, 7, 1, 5]",0.00390625
346,2,swap,500,10,tournament,"[3, 4, 7, 5]",0.125
347,2,swap,500,20,tournament,"[3, 7, 8, 6, 9, 5]",0.03125
348,2,swap,500,50,tournament,"[3, 2, 5]",0.25
349,2,swap,500,100,tournament,"[3, 8, 3, 5]",0.5
350,2,add,10,5,tournament,"[3, 2, 5]",0.25
351,2,add,10,10,tournament,"[3, 8, 2, 9, 7, 5]",0.03125
352,2,add,10,20,tournament,"[3, 2, 8, 7, 1, 5]",0.0625
353,2,add,10,50,tournament,"[3, 5]",2.0
354,2,add,10,100,tournament,"[4, 5]",0.5
355,2,add,50,5,tournament,"[3, 2, 0, 6, 8, 4, 9, 7, 1, 5]",0.00390625
356,2,add,50,10,tournament,"[3, 0, 4, 5]",0.25
357,2,add,50,20,tournament,"[3, 0, 5]",0.5
358,2,add,50,50,tournament,"[3, 5]",2.0
359,2,add,50,100,tournament,"[3, 5]",2.0
360,2,add,100,5,tournament,"[3, 1, 2, 6, 5]",0.0625
361,2,add,100,10,tournament,"[3, 1, 5]",0.5
362,2,add,100,20,tournament,"[3, 5]",2.0
363,2,add,100,50,tournament,"[3, 5]",2.0
364,2,add,100,100,tournament,"[3, 5]",2.0
365,2,add,200,5,tournament,"[3, 9, 5]",0.25
366,2,add,200,10,tournament,"[3, 5]",2.0
367,2,add,200,20,tournament,"[3, 5]",2.0
368,2,add,200,50,tournament,"[3, 5]",2.0
369,2,add,200,100,tournament,"[3, 5]",2.0
370,2,add,500,5,tournament,"[3, 0, 5]",0.5
371,2,add,500,10,tournament,"[3, 5]",2.0
372,2,add,500,20,tournament,"[3, 5]",2.0
373,2,add,500,50,tournament,"[3, 5]",2.0
374,2,add,500,100,tournament,"[3, 5]",2.0
375,2,all,10,5,tournament,"[3, 8, 2, 6, 7, 5]",0.03125
376,2,all,10,10,tournament,"[3, 1, 2, 6, 5]",0.0625
377,2,all,10,20,tournament,"[3, 8, 6, 5]",0.125
378,2,all,10,50,tournament,"[3, 8, 1, 5]",0.25
379,2,all,10,100,tournament,"[3, 9, 1, 5]",0.25
380,2,all,50,5,tournament,"[3, 1, 9, 8, 0, 5]",0.03125
381,2,all,50,10,tournament,"[3, 5]",2.0
382,2,all,50,20,tournament,"[3, 5]",2.0
383,2,all,50,50,tournament,"[3, 5]",2.0
384,2,all,50,100,tournament,"[3, 5]",2.0
385,2,all,100,5,tournament,"[3, 4, 1, 5]",0.25
386,2,all,100,10,tournament,"[3, 5]",2.0
387,2,all,100,20,tournament,"[3, 5]",2.0
388,2,all,100,50,tournament,"[3, 5]",2.0
389,2,all,100,100,tournament,"[3, 5]",2.0
